"Description","Date","Earned","Paid","Category","Destination","Source"
"transfer","2021-05-19",0,94.62,"Misc","","[Venmo]"
"Pilot Travel Center","2021-05-20",0,32.58,"[Gas & Fuel]","","Discover"
"Wal-Mart","2021-05-20",0,97.91,"[Shopping]","","Discover"
"Wal-Mart","2021-05-20",0,13.86,"[Shopping]","","Discover"
"Venmo Cashout","2021-05-20",94.62,0,"Work","Checking",""
"Acorns Invest Transfer","2021-05-20",0,5,"[Transfer]","","Checking"
"Deposit","2021-05-20",5,0,"[Investments]","[Acorns]",""
"Wal-Mart","2021-05-21",0,14.83,"[Shopping]","","Discover"
"Wal-Mart","2021-05-22",0,34.72,"[Shopping]","","Discover"
"N ACADEMY ARC THRIFT COLORADO SPRICO","2021-05-23",0,67.05,"[Clothing]","","Discover"
"Goodwill Industries","2021-05-23",0,13,"[Shopping]","","Discover"
"Safeway","2021-05-23",0,16.45,"Groceries","","Discover"
"MUSHROOM MONDAY MANITOU SPRINCO000230584301404","2021-05-24",0,10.89,"[Restaurants]","","Discover"
"Acorns Invest Transfer","2021-05-24",0,100,"[Transfer]","","Checking"
"Deposit","2021-05-24",100,0,"[Investments]","[Acorns]",""
"ROADHOUSE CINEMAS RAILYD COLORADO SPRICO","2021-05-25",0,25.95,"[Movies & DVDs]","","Discover"
"3A GAS PLUS 1233 N CIRCLE DR COLORADO SPRI80909 CO USA","2021-05-25",0,31.7,"Gas","","Apple Card"
"ROADHOUSE CINEMAS - CO3030 N NEVADA AVE COLORADO SPRI80907 CO USA","2021-05-25",0,15,"Entertainment","","Apple Card"
"Gasbuddy Gasbuddy","2021-05-26",0.01,0,"Work","Checking",""
"GasBuddy","2021-05-26",0,0.01,"[Gas & Fuel]","","Checking"
"URBANLIGHTC 888-221-1161 CA","2021-05-26",0,20,"[Hobbies]","","Discover"
"Community Church","2021-05-26",0,20,"[Gifts & Donations]","","[PayPal Account]"
"Wal-Mart","2021-05-27",0,69,"[Shopping]","","Discover"
"Apple","2021-05-29",0,0.99,"[Electronics & Software]","","Discover"
"Portal","2021-05-31",16.22,0,"Work","[Venmo]",""
"Steam Games","2021-05-31",0,16.22,"Entertainment","","Discover"
"Valve Corp.","2021-05-31",0,16.22,"[Electronics & Software]","","[PayPal Account]"
"ACH DEPOSIT INTERNET TRANSFER FROM ACCOUNT ENDING IN 2593","2021-05-31",154.56,0,"Payment","Apple Card",""
"Requested transfer from ALLY BANK Online Savings account XXX","2021-06-01",850,0,"[Transfer]","Checking",""
"Requested transfer to ALLY BANK Interest Checking account XX","2021-06-01",0,850,"[Transfer]","","Savings"
"APPLECARD GSBANK PAYMENT","2021-06-01",0,154.56,"Misc","","Savings"
"PP*JOSHJOHNSIC SAN JOSE CA","2021-06-02",0,4.27,"Food","","Discover"
"Acorns Invest Transfer","2021-06-02",0,25,"[Transfer]","","Checking"
"Weidner WEB PMTS","2021-06-02",0,600.4,"Housing","","Checking"
"Deposit","2021-06-02",25,0,"[Investments]","[Acorns]",""
"Apple","2021-06-03",0,5.4,"[Electronics & Software]","","Discover"
"Liberty Mutual","2021-06-04",0,50.81,"[Home Insurance]","","Checking"
"CARIBOU & EINSTEIN #35","2021-06-05",0,7.35,"[Coffee Shops]","","Discover"
"RIZUTO S ICE CREAM","2021-06-05",0,3.43,"Food","","Discover"
"TST* BURGER - IVYWIL","2021-06-05",0,15.15,"Food","","Discover"
"Wal-Mart","2021-06-06",0,24.35,"[Shopping]","","Discover"
"Goodwill Industries","2021-06-06",0,16,"[Shopping]","","Discover"
"Goodwill Industries","2021-06-06",0,6,"[Shopping]","","Discover"
"Wal-Mart","2021-06-06",0,120.59,"[Shopping]","","Discover"
